,comm_2
829,1262489123732041730
830,1193984553318268934
831,1221183469457412101
832,180839328
833,2800368085
834,385111383
835,45452139
836,877924082
837,1252686587944742912
838,276277151
839,873889142874279936
840,1043343131272462336
841,2660025775
842,2895280965
843,266589212
844,1318193409828552708
845,1256595775250927617
846,957304591003148290
847,1623569654
848,2482800443
849,1299095299814813698
850,787591939
851,29477563
852,1264756960311652353
853,2546190963
854,1208603516186562560
855,4197231503
856,1174328033328717824
857,150407506
858,4814176161
859,936449378264453120
860,165586029
861,1209104143119458307
862,761573072168218624
863,1125222096
864,2975699811
865,752943889821106176
866,2393163289
867,301097421
868,1024745141502976000
869,766995883
870,2714892747
871,22967586
872,3252079467
873,1674504272
874,399585832
875,3051328745
876,1188664772226637824
877,1265427908920856577
878,187799161
879,144327622
880,150659689
881,834583812977881090
882,1263623799473307649
883,717823079
884,258308059
885,148768823
886,845640669070811137
887,4217513727
888,228240541
889,2801852721
890,156845312
891,328832964
892,57648155
893,331965814
894,1455709177
895,734388470458818561
896,728171677025239040
897,3848136317
898,4078995195
899,1082804055741730816
900,841354269374726150
901,789116761098555393
902,86284895
903,783232796
904,153385018
905,250930623
906,4085282722
907,163583879
908,240425521
909,943253678890405888
910,708353320184893440
911,827048251
912,63346632
913,4579301145
914,94996859
915,144695924
916,1252522040
917,1272713534078619648
918,155688427
919,4150981781
920,148563245
921,1033855697472114688
922,1279021255081984002
923,3028344783
924,1581819901
925,758712484404596736
926,420805730
927,261731710
928,1241155383701450756
929,86869815
930,1188926581953224704
931,1224752003429150727
932,4210098027
933,1078365710
934,1180619363721908225
935,1066323966518808577
936,1102939558222721024
937,1379643769
938,860360141350334464
939,606632391
940,1247913528712929292
941,1309580336855097345
942,1414071133
943,1354235332783435778
944,1283115782931652609
945,557393074
946,1360287269622599684
947,294373214
948,227012102
949,62424707
950,476684072
951,135726636
952,1176653198339313665
953,4089873334
954,2349456344
955,87934321
956,2153846979
957,336827111
958,780842175898591232
959,325704431
960,179677151
961,169371757
962,1190089906451861504
963,1544063371
964,1300108963292340225
965,1396045202
966,4919694075
967,1319715730967961602
968,35881724
969,2290169688
970,803397346751119360
971,1354178084
972,331830476
973,719198071
974,38048245
975,2799168417
976,324353452
977,994929814028079105
978,849268569514934272
979,725148304665939969
980,1200568325471952898
981,10190032
982,2203968874
983,926293315720540166
984,1352367536210391040
985,1163943577099091969
986,839904865
987,181064465
988,1275093295
989,1186644249279959041
990,143179041
991,44640466
992,941838154750922752
993,3236245049
994,1340992230509719552
995,979857101588746240
996,37404217
997,116563618
998,1194094784194981889
999,1276255643519909893
1000,268993935
1001,147183048
1002,4307691987
1003,1236035791379406850
1004,747984645233516544
1005,1343355572150820864
1006,2876943004
1007,1308748567478235136
1008,792564287734738944
1009,1042378005031530497
1010,3605762597
1011,1207836384767164416
1012,2506745151
1013,337304709
1014,1661127373
1015,2317482398
1016,1596314778
1017,4213648719
1018,574132516
1019,146987312
1020,916703310400409600
1021,1200554067254272000
1022,239462117
1023,4714630516
1024,1596482430
1025,948182384620556288
1026,1281372061345239046
1027,1234841172
1028,935705141868625920
1029,1601455375
1030,985704326
1031,4083316167
1032,171868618
1033,228077319
1034,806916840211566592
1035,4821994228
1036,1175618412212609024
1037,1062536092304453633
1038,1220040001158774785
1039,18537781
1040,45936838
1041,999480936512327681
1042,1167859143669104640
1043,1190320908084359168
1044,187385739
1045,398762232
1046,14654522
1047,502488678
1048,730055512948084736
1049,62979727
1050,2357160421
1051,204515580
1052,166942151
1053,333699650
1054,1076577125149356032
1055,38056198
1056,2525439758
1057,983531271749070848
1058,2437276885
1059,840946497105596417
1060,1030336423830999041
1061,718926741973151744
1062,1776534056
1063,247564179
1064,991740421
1065,136504466
1066,981950513515302914
1067,1455702691
1068,1347168397247672326
1069,518106685
1070,817639700
1071,155657780
1072,1296849632920829955
1073,1693797008
1074,3857356233
1075,156852902
