,user,Clase,degree,betweenness,eigenvector,pagerank,Cws
66,510740590,0,384.0,418420.1002132754,0.02468640910651121,0.0012730068981238669,0.02099651871192341
67,172417422,0,5.0,14.21541514041514,0.004035119745867057,2.06821357073392e-05,0.5
68,1186080397626658816,0,1.0,0.0,5.47384419743842e-05,6.769488728147251e-06,0.0
69,3107864708,0,13.0,0.0,0.003527321928350167,4.6393038996255275e-05,0.14102564102564102
70,2229279600,0,38.0,0.0,0.005644728761332295,0.00012000430626936252,0.10241820768136557
71,1426566756,0,8.0,0.0,0.0031495362362793065,2.9444159755741457e-05,0.25
72,1342088166,0,1.0,0.0,4.70330832513194e-05,6.631132415282043e-06,0.0
73,962815988336119810,0,1.0,32623.88799512878,6.006910496697504e-05,6.798178510904015e-06,0.0
74,152398844,0,5.0,12.454291535210517,0.00037800857383494564,1.7822556232336476e-05,0.0
75,70596691,0,1.0,8462.815969038209,3.7420781980803784e-05,6.704277622575208e-06,0.0
76,1865275226,0,3.0,0.0,0.0001908848415725066,1.165053238112172e-05,0.0
77,1030600807094382592,0,2.0,50.0584679414261,0.00014629564791973404,9.862796170754272e-06,0.0
78,183031741,0,2.0,19.140326282525013,6.106535943760282e-05,1.0812303290206965e-05,0.0
79,145010134,0,88.0,0.0,0.007490485546210391,0.0002791611773032892,0.03912448700410397
80,918893305664098304,0,33.0,44377.468202484066,0.0022872009599876003,0.00010351737079537129,0.022727272727272728
81,140374618,0,2.0,0.0,0.00295263570609556,1.0487189639379039e-05,1.0
82,1180936849,0,12.0,0.0,0.004362030358541731,4.0911081434689865e-05,0.19696969696969696
83,4470440536,0,67.0,9040.822039526947,0.0070430951476547635,0.00020454071855273269,0.05970149253731343
86,542672934,0,1.0,0.0,0.00010794922416029488,6.531585057764091e-06,0.0
87,153552401,0,23.0,12601.399623563444,0.0036465278567217314,8.109098449594055e-05,0.06719367588932806
88,869206764704731136,0,57.0,0.0,0.004692571975970761,0.0001897609369187442,0.02506265664160401
90,1299899337087033345,0,2.0,16518.957915404546,0.0001366284427677387,1.0699698034917837e-05,0.0
91,939907866894401536,0,6.0,2.57111985048997,0.0029401536580745094,2.4687470357931998e-05,0.2
92,886020561989718016,0,7.0,1748.898313343412,0.0004885472413737739,2.3780674574844544e-05,0.0
93,2468581307,0,7.0,0.0,0.000508388982596085,2.5373391744391584e-05,0.047619047619047616
94,2377961704,0,1.0,0.0,7.489441122903473e-05,6.870521482238335e-06,0.0
96,973491850530164736,0,4.0,356004.58558331244,0.0030157414571694284,1.6514565346993027e-05,0.5
97,1272713534078619648,0,134.0,18053.844290052555,0.008580451575837195,0.00046115957065207116,0.01728201099764336
98,1250601378872991745,0,14.0,10858.814078782205,0.0007101465907230678,5.087967070453463e-05,0.06593406593406594
99,1099369944960110592,0,1.0,0.0,0.002808734185523898,7.943073901465066e-06,0.0
100,1399456345,0,36.0,9850.675523497199,0.005263514496303233,0.00011238205567030591,0.08912655971479501
101,2649013430,0,3.0,0.0,0.00011016005496702811,1.3903190705625867e-05,0.0
102,1211089022103064576,0,2.0,0.0,0.00011832669482074715,9.582958485032063e-06,0.0
104,281644571,0,1.0,0.0,0.0001541409240387758,6.855537054033656e-06,0.0
105,135959915,0,10.0,1719.7812265010002,0.0003209302860569204,3.5840549823736774e-05,0.0
107,1231257889945391104,1,1.0,1.1418267843523917,9.771048092835413e-05,9.290386570385443e-06,0.0
108,1212718019849248768,1,7.0,27577.543606679534,0.008125756954984818,3.274874472318415e-05,0.5238095238095238
